,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.745,0.019,0.49,0.037,0.831,0.041
2,0.48,0.053,-0.04,0.107,0.525,0.047
3,0.795,0.048,0.59,0.097,0.91,0.062
4,0.6,0.069,0.2,0.138,0.648,0.129
5,0.685,0.056,0.37,0.112,0.836,0.102
6,0.728,0.054,0.466,0.11,0.801,0.051
7,0.538,0.061,0.075,0.122,0.569,0.059
8,0.545,0.084,0.09,0.169,0.571,0.058
9,0.521,0.029,0.042,0.059,0.529,0.064
10,0.53,0.043,0.06,0.086,0.574,0.097
11,0.505,0.093,0.01,0.185,0.514,0.094
12,0.634,0.028,0.273,0.054,0.714,0.056
13,0.885,0.02,0.77,0.04,0.946,0.025
14,0.83,0.129,0.66,0.258,0.941,0.083
15,0.503,0.074,0.003,0.143,0.493,0.055
16,0.55,0.022,0.1,0.045,0.63,0.047
17,0.48,0.06,-0.04,0.12,0.5,0.1
18,0.58,0.073,0.16,0.146,0.613,0.098
19,0.559,0.118,0.093,0.235,0.513,0.123
20,0.624,0.147,0.164,0.317,0.548,0.143
21,0.58,0.06,0.16,0.12,0.6,0.08
22,0.545,0.094,0.09,0.188,0.54,0.054
23,0.62,0.043,0.24,0.086,0.674,0.061
24,0.555,0.1,0.11,0.201,0.568,0.143
25,0.545,0.043,0.09,0.086,0.548,0.076
26,0.71,0.07,0.42,0.14,0.766,0.083
27,0.427,0.052,-0.15,0.104,0.396,0.049
28,0.63,0.043,0.26,0.086,0.686,0.07
30,0.52,0.067,0.025,0.136,0.55,0.089
31,0.51,0.058,0.02,0.117,0.501,0.032
32,0.5,0.045,-0.0,0.089,0.509,0.051
33,0.585,0.06,0.17,0.121,0.638,0.06
35,0.81,0.044,0.62,0.087,0.876,0.067
36,0.544,0.1,0.082,0.204,0.602,0.084
37,0.785,0.034,0.57,0.068,0.882,0.061
38,0.544,0.038,0.082,0.075,0.526,0.061
39,0.69,0.056,0.38,0.112,0.703,0.045
40,0.515,0.098,0.03,0.196,0.518,0.068
41,0.595,0.068,0.19,0.136,0.681,0.062
42,0.48,0.113,-0.04,0.227,0.501,0.147
43,0.95,0.045,0.9,0.089,0.996,0.005
44,0.8,0.039,0.6,0.077,0.874,0.065
45,0.525,0.076,0.05,0.152,0.534,0.075
46,0.704,0.093,0.408,0.185,0.761,0.097
47,0.692,0.065,0.381,0.129,0.778,0.026
48,0.64,0.066,0.28,0.133,0.678,0.041
49,0.718,0.032,0.432,0.065,0.847,0.052
50,0.875,0.063,0.75,0.126,0.959,0.031
51,0.523,0.05,0.049,0.098,0.571,0.054
52,0.52,0.043,0.04,0.086,0.519,0.032
