,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.845,0.04,0.69,0.08,0.935,0.025
2,0.525,0.102,0.05,0.205,0.556,0.137
3,0.96,0.037,0.92,0.075,0.994,0.008
4,0.955,0.043,0.91,0.086,0.99,0.012
5,0.885,0.068,0.77,0.136,0.95,0.032
6,0.85,0.074,0.698,0.148,0.928,0.059
7,0.558,0.068,0.117,0.135,0.575,0.09
8,0.605,0.091,0.21,0.183,0.65,0.077
9,0.654,0.055,0.308,0.111,0.714,0.071
10,0.8,0.055,0.6,0.11,0.906,0.024
11,0.575,0.107,0.15,0.214,0.624,0.128
12,0.8,0.054,0.599,0.108,0.865,0.07
13,0.92,0.046,0.84,0.092,0.972,0.023
14,0.975,0.022,0.95,0.045,1.0,0.001
15,0.723,0.089,0.446,0.178,0.805,0.122
16,0.515,0.037,0.03,0.075,0.57,0.09
17,0.545,0.093,0.09,0.185,0.596,0.109
18,0.74,0.034,0.48,0.068,0.83,0.036
19,0.559,0.091,0.107,0.177,0.526,0.117
20,0.682,0.06,0.265,0.138,0.733,0.119
21,0.75,0.067,0.5,0.134,0.828,0.071
22,0.76,0.064,0.52,0.129,0.864,0.039
23,0.93,0.033,0.86,0.066,0.989,0.008
24,0.74,0.049,0.48,0.098,0.8,0.061
25,0.765,0.075,0.53,0.15,0.868,0.07
26,0.89,0.046,0.78,0.093,0.944,0.031
27,0.53,0.086,0.059,0.172,0.542,0.082
28,0.825,0.065,0.65,0.13,0.914,0.044
30,0.536,0.093,0.078,0.184,0.521,0.141
31,0.675,0.089,0.35,0.179,0.726,0.108
32,0.595,0.064,0.19,0.128,0.613,0.045
33,0.515,0.082,0.03,0.163,0.502,0.109
35,0.86,0.044,0.72,0.087,0.95,0.019
36,0.728,0.026,0.455,0.052,0.815,0.036
37,0.84,0.082,0.68,0.163,0.921,0.055
38,0.574,0.062,0.146,0.128,0.555,0.068
39,0.78,0.019,0.56,0.037,0.858,0.036
40,0.565,0.064,0.13,0.129,0.6,0.079
41,0.945,0.01,0.89,0.02,0.993,0.005
42,0.61,0.082,0.22,0.163,0.656,0.122
43,0.985,0.02,0.97,0.04,1.0,0.001
44,0.87,0.051,0.74,0.102,0.951,0.029
45,0.605,0.051,0.21,0.102,0.634,0.069
46,0.825,0.047,0.65,0.094,0.889,0.046
47,0.81,0.062,0.62,0.124,0.913,0.052
48,0.965,0.025,0.93,0.051,0.989,0.009
49,0.831,0.06,0.661,0.119,0.914,0.032
50,0.97,0.019,0.94,0.037,0.994,0.004
51,0.615,0.063,0.232,0.126,0.645,0.074
52,0.65,0.076,0.3,0.152,0.695,0.072
