,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.885,0.041,0.77,0.081,0.952,0.036
2,0.565,0.025,0.13,0.051,0.573,0.042
3,0.98,0.019,0.96,0.037,0.996,0.004
4,0.97,0.029,0.94,0.058,0.993,0.012
5,0.9,0.042,0.8,0.084,0.948,0.037
6,0.861,0.084,0.719,0.171,0.932,0.047
7,0.638,0.054,0.275,0.107,0.682,0.075
8,0.655,0.068,0.31,0.136,0.685,0.069
9,0.704,0.02,0.408,0.041,0.78,0.049
10,0.855,0.048,0.71,0.097,0.938,0.032
11,0.585,0.06,0.17,0.121,0.617,0.055
12,0.811,0.05,0.624,0.099,0.854,0.064
13,0.935,0.012,0.87,0.024,0.966,0.022
14,0.975,0.016,0.95,0.032,1.0,0.001
15,0.882,0.066,0.764,0.132,0.943,0.043
16,0.625,0.111,0.25,0.221,0.648,0.109
17,0.56,0.066,0.12,0.133,0.558,0.072
18,0.725,0.074,0.45,0.148,0.797,0.054
19,0.676,0.041,0.339,0.091,0.712,0.04
20,0.741,0.08,0.399,0.202,0.806,0.042
21,0.835,0.066,0.67,0.133,0.912,0.052
22,0.785,0.072,0.57,0.144,0.852,0.047
23,0.945,0.037,0.89,0.073,0.994,0.009
24,0.76,0.049,0.52,0.098,0.824,0.06
25,0.835,0.044,0.67,0.087,0.921,0.028
26,0.88,0.024,0.76,0.049,0.919,0.013
27,0.605,0.044,0.212,0.087,0.585,0.09
28,0.82,0.024,0.64,0.049,0.898,0.022
30,0.608,0.132,0.212,0.269,0.622,0.161
31,0.79,0.034,0.58,0.068,0.858,0.045
32,0.625,0.035,0.25,0.071,0.644,0.056
33,0.625,0.052,0.25,0.105,0.634,0.024
35,0.895,0.01,0.79,0.02,0.96,0.016
36,0.764,0.019,0.528,0.038,0.831,0.025
37,0.84,0.025,0.68,0.051,0.908,0.015
38,0.564,0.069,0.129,0.139,0.552,0.086
39,0.76,0.025,0.52,0.051,0.864,0.034
40,0.62,0.058,0.24,0.116,0.631,0.047
41,0.955,0.029,0.91,0.058,0.994,0.004
42,0.68,0.073,0.36,0.146,0.727,0.054
43,0.985,0.012,0.97,0.024,1.0,0.001
44,0.915,0.034,0.83,0.068,0.964,0.016
45,0.66,0.046,0.32,0.093,0.727,0.056
46,0.821,0.08,0.642,0.159,0.901,0.061
47,0.821,0.054,0.64,0.108,0.892,0.055
48,0.975,0.022,0.95,0.045,0.996,0.006
49,0.846,0.046,0.691,0.092,0.916,0.044
50,0.93,0.024,0.86,0.049,0.988,0.008
51,0.574,0.074,0.151,0.148,0.58,0.095
52,0.72,0.111,0.44,0.222,0.77,0.113
