,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.855,0.062,0.71,0.124,0.944,0.028
2,0.485,0.051,-0.03,0.103,0.506,0.086
3,0.955,0.037,0.91,0.073,0.986,0.017
4,0.915,0.041,0.83,0.081,0.975,0.018
5,0.86,0.058,0.72,0.117,0.942,0.038
6,0.828,0.069,0.647,0.14,0.933,0.065
7,0.704,0.075,0.408,0.15,0.73,0.093
8,0.635,0.051,0.27,0.103,0.679,0.049
9,0.662,0.04,0.325,0.081,0.712,0.031
10,0.675,0.074,0.35,0.148,0.76,0.107
11,0.565,0.046,0.13,0.093,0.629,0.06
12,0.72,0.033,0.441,0.066,0.791,0.035
13,0.895,0.037,0.79,0.073,0.958,0.029
14,0.965,0.037,0.93,0.075,0.997,0.003
15,0.569,0.034,0.137,0.068,0.591,0.073
16,0.525,0.047,0.05,0.095,0.568,0.075
17,0.57,0.073,0.14,0.146,0.616,0.085
18,0.665,0.07,0.33,0.14,0.74,0.091
19,0.593,0.046,0.144,0.097,0.54,0.044
20,0.694,0.044,0.29,0.064,0.685,0.065
21,0.64,0.086,0.28,0.172,0.7,0.075
22,0.715,0.078,0.43,0.157,0.775,0.068
23,0.82,0.073,0.64,0.146,0.876,0.063
24,0.705,0.037,0.41,0.073,0.742,0.039
25,0.71,0.054,0.42,0.108,0.761,0.088
26,0.85,0.047,0.7,0.095,0.898,0.032
27,0.568,0.104,0.129,0.211,0.622,0.069
28,0.82,0.043,0.64,0.086,0.901,0.013
30,0.472,0.047,-0.061,0.095,0.478,0.046
31,0.765,0.075,0.53,0.15,0.843,0.057
32,0.55,0.095,0.1,0.19,0.61,0.099
33,0.55,0.077,0.1,0.155,0.608,0.099
35,0.89,0.046,0.78,0.093,0.962,0.021
36,0.718,0.069,0.438,0.137,0.787,0.038
37,0.83,0.033,0.66,0.066,0.945,0.013
38,0.672,0.041,0.343,0.085,0.711,0.055
39,0.775,0.042,0.55,0.084,0.822,0.05
40,0.565,0.051,0.13,0.103,0.604,0.088
41,0.79,0.121,0.58,0.242,0.88,0.087
42,0.605,0.062,0.21,0.124,0.658,0.096
43,0.965,0.012,0.93,0.024,0.996,0.004
44,0.915,0.054,0.83,0.108,0.964,0.018
45,0.595,0.062,0.19,0.124,0.632,0.078
46,0.775,0.066,0.55,0.133,0.859,0.041
47,0.846,0.043,0.693,0.086,0.91,0.047
48,0.885,0.025,0.77,0.051,0.963,0.019
49,0.831,0.062,0.661,0.125,0.912,0.048
50,0.94,0.041,0.88,0.081,0.985,0.01
51,0.549,0.068,0.099,0.136,0.588,0.045
52,0.59,0.064,0.18,0.129,0.663,0.068
