,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.865,0.025,0.73,0.051,0.946,0.034
2,0.485,0.075,-0.03,0.15,0.482,0.032
3,0.945,0.019,0.89,0.037,0.996,0.005
4,0.905,0.068,0.81,0.136,0.969,0.028
5,0.9,0.032,0.8,0.063,0.952,0.035
6,0.85,0.06,0.7,0.119,0.938,0.041
7,0.588,0.062,0.175,0.125,0.649,0.074
8,0.58,0.051,0.16,0.102,0.62,0.047
9,0.708,0.042,0.417,0.083,0.799,0.02
10,0.795,0.029,0.59,0.058,0.89,0.038
11,0.54,0.07,0.08,0.14,0.568,0.071
12,0.771,0.054,0.543,0.108,0.849,0.023
13,0.935,0.034,0.87,0.068,0.976,0.014
14,0.97,0.019,0.94,0.037,0.999,0.001
15,0.779,0.031,0.559,0.063,0.878,0.036
16,0.525,0.076,0.05,0.152,0.552,0.116
17,0.56,0.112,0.12,0.225,0.616,0.142
18,0.69,0.044,0.38,0.087,0.785,0.065
19,0.531,0.089,0.046,0.176,0.495,0.062
20,0.6,0.146,0.096,0.334,0.67,0.114
21,0.805,0.043,0.61,0.086,0.882,0.063
22,0.705,0.053,0.41,0.107,0.806,0.03
23,0.915,0.025,0.83,0.051,0.972,0.019
24,0.745,0.043,0.49,0.086,0.798,0.067
25,0.73,0.024,0.46,0.049,0.82,0.019
26,0.87,0.051,0.74,0.102,0.943,0.041
27,0.53,0.05,0.056,0.101,0.509,0.075
28,0.815,0.078,0.63,0.157,0.9,0.051
30,0.56,0.062,0.121,0.121,0.612,0.076
31,0.74,0.012,0.48,0.024,0.815,0.033
32,0.525,0.069,0.05,0.138,0.532,0.07
33,0.56,0.085,0.12,0.169,0.605,0.08
35,0.86,0.041,0.72,0.081,0.945,0.021
36,0.728,0.068,0.457,0.136,0.802,0.048
37,0.835,0.025,0.67,0.051,0.927,0.023
38,0.538,0.058,0.078,0.119,0.6,0.057
39,0.76,0.034,0.52,0.068,0.837,0.059
40,0.605,0.053,0.21,0.107,0.652,0.062
41,0.925,0.022,0.85,0.045,0.983,0.007
42,0.63,0.083,0.26,0.166,0.71,0.071
43,0.98,0.019,0.96,0.037,0.999,0.001
44,0.875,0.039,0.75,0.077,0.942,0.03
45,0.65,0.076,0.3,0.152,0.701,0.056
46,0.788,0.038,0.575,0.076,0.861,0.032
47,0.831,0.05,0.662,0.1,0.915,0.05
48,0.94,0.041,0.88,0.081,0.985,0.016
49,0.862,0.05,0.723,0.102,0.928,0.028
50,0.89,0.034,0.78,0.068,0.957,0.023
51,0.533,0.064,0.065,0.128,0.534,0.072
52,0.675,0.052,0.35,0.105,0.728,0.045
